"EVENT_TYPE","TIMESTAMP","REQUEST_ID","ORGANIZATION_ID","USER_ID","RUN_TIME","CPU_TIME","CLIENT_IP","URI","JOB_ID","BATCH_ID","ROWS_PROCESSED","NUMBER_FAILURES","SUCCESS","MESSAGE","ENTITY_TYPE","OPERATION_TYPE"
"BulkApi","20150726091731.583","3zGoT1artS3UubH5Tipnr-","00D30000000V77Y","0053000000ALCw8","552","72","","BULKAPI-LOG","750300000010DJu","75130000002YLJy","45","0","1","""success""","Account","query"
"BulkApi","20150726091742.762","3zGoTRZNkJpZzMH5TipoZ-","00D30000000V77Y","0053000000ALCw8","155","73","","BULKAPI-LOG","750300000010DJz","75130000002YLK3","14","0","1","""success""","Opportunity","query"
"BulkApi","20150726091754.441","3zGo4hxnSkhZNrH5TipoZ-","00D30000000V77Y","0053000000ALCw8","139","54","","BULKAPI-LOG","750300000010DK4","75130000002YLK8","74","0","1","""success""","User","query"
"BulkApi","20150726091805.960","3zGoVTtRYN7rn6H5TiplX-","00D30000000V77Y","0053000000ALCw8","171","75","","BULKAPI-LOG","750300000010DK9","75130000002YLKD","11","0","1","""success""","UserRole","query"
